"path","git_status","classification","slice","rationale"
"_dedup_backend.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"_loc_entry.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"_patch_backend_fields.txt","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"_patch_backend.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"_patch_frontend8a.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-cashpilot-1.53.20.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-cashpilot-1.53.21.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-cashpilot-build.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-cashpilot-source-20260920.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-cashpilot-source-20260920b.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/boot.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/cashpilot-doh.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/cashpilot-proxy-entrypoint","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/earn-supervisor","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
